Algorithm, Dataset, Time(ns), Time(ms)
Shell sort,int10,5570,0
Shell sort,int50,137950,0
Shell sort,int100,5460,0
Shell sort,int1000,5440,0
Shell sort,bad,31360,0
Shell sort,int20k,3990,0
Shell sort,dutch,3820,0
Shell sort,int500k,5230,0
Shell sort,intBig,5400,0
