Algorithm, Dataset, Time(ns), Time(ms)
Quick sort,int10,4710,0
Quick sort,int50,6750,0
Quick sort,int100,4480,0
Quick sort,int1000,5970,0
Quick sort,bad,6000,0
Quick sort,int20k,3860,0
Quick sort,dutch,3240,0
Quick sort,int500k,4530,0
Quick sort,intBig,4560,0
